,Prediction
0,16.85164878066956
1,17.454406044034293
2,17.454406044034293
3,20.589301805473344
4,51.68106171315401
5,148.7564635248076
6,262.1681144478452
7,383.2719108823279
8,508.69354880087013
9,610.5513749125805
10,581.3156563828773
11,509.2159572538013
12,454.70302949890987
13,414.69682437179705
14,386.70454330698885
15,282.6371964783867
16,190.8360752650729
17,117.68318645900573
18,42.38703042871503
19,17.294460835102793
20,17.558943268979412
21,17.86272454247836
22,14.829159725980668
23,15.12971694753128
24,24.18644706674154
25,23.13652317831841
26,22.589622931570855
27,32.25137260059859
28,75.87383956738827
29,178.75420210140982
30,296.96550384841635
31,480.51223122686065
32,612.6422899751014
33,702.5451353548764
34,731.8831200977081
35,673.6290031274887
36,646.8173096477176
37,604.8470298416061
38,585.8038103240118
39,431.80998997261077
40,280.60278823200144
41,157.1765860964003
42,84.13934796841801
43,34.35421070947166
44,25.97793653642048
45,23.483802436330574
46,23.483802436330574
47,29.75589586673846
48,37.812834612975145
49,29.70154846952275
50,29.332422039016343
51,65.30807254668639
52,132.57968608407188
53,268.94981819427227
54,414.9790952381316
55,626.6907603443753
56,808.1974096423293
57,891.5542184832622
58,1011.0445651294335
59,885.8816603960138
60,783.7004579507109
61,706.430950421604
62,629.7960647425303
63,423.1526117191259
64,244.67604532093333
65,157.4665716087697
66,90.25484670689521
67,46.521525701337914
68,30.3289938691521
69,28.534726656861633
70,25.84674749711614
71,26.528661255744993
72,15.974882695439465
73,16.229260228569416
74,17.595715211291864
75,29.196540169107923
76,87.9014299223636
77,229.24451321164904
78,398.01994848909055
79,599.9596068457215
80,744.8346348461725
81,783.2629260365569
82,726.5009229204297
83,695.9548947545801
84,648.5382251073319
85,581.00803176218
86,597.1131834430639
87,498.395012926412
88,318.7554447929028
89,195.54491005257603
90,75.50172833630909
91,37.96089443444687
92,29.917138180030616
93,29.342309285501564
94,26.85351191380756
95,25.867942168698786
96,40.54853948508032
97,30.949454511231526
98,37.66922795550464
99,67.73006664855697
100,137.44363422810073
101,272.6970863205534
102,467.0079782401608
103,644.1135186297906
104,821.2189717008378
105,847.051289872368
106,882.8905144021296
107,942.8618138672139
108,970.1951797480313
109,781.5323345957912
110,711.0874765538963
111,519.835484850097
112,303.3969444806982
113,189.67760056803124
114,105.59790912745102
115,56.857747291562525
116,34.27507053199068
117,38.59753596055186
118,38.9540647347457
119,37.35575989652549
120,40.18062134211941
121,34.330847018693
122,47.179109355889196
123,91.0101844031962
124,183.01570024265553
125,320.09582794396283
126,476.98810282261155
127,671.5662448289488
128,775.0059217633222
129,771.7916682128978
130,732.3228983419975
131,705.7578767122441
132,688.2285276357827
133,699.6161418493715
134,658.1434956085511
135,492.73041390292525
136,304.5970138327408
137,185.4832461356766
138,107.01444679741296
139,57.53805393381423
140,35.14225486725615
141,32.40373739252026
142,30.016283757971294
143,34.18606545245318
144,31.755940959108983
145,31.670597380645482
146,38.77999628010466
147,86.72060404672831
148,173.22475428682196
149,321.2367816837112
150,466.81503545751417
151,685.7577242725521
152,821.5714713513898
153,900.7579357607757
154,864.1089918327242
155,820.3450213670723
156,792.3776545291454
157,746.1430488509175
158,641.4075776414458
159,467.70880474737254
160,288.4057654272634
161,189.9712104891341
162,107.10361613617246
163,53.21890102171012
164,34.57987645680614
165,29.985737761378985
166,32.08816043854311
167,32.02147870686888
168,31.26137854694751
169,28.5472845957917
170,28.97021132982902
171,41.08114138113027
172,57.930777171899216
173,85.3128553987854
174,119.54954030177088
175,179.49770164285377
176,211.28100346681862
177,238.8367203137554
178,253.66562939651942
179,319.78569328541005
180,386.32178463523246
181,448.37819286264585
182,415.14896610531986
183,333.2659305107696
184,240.95771519644381
185,160.57514130582123
186,74.84929785147507
187,32.81963568199434
188,29.109245092046546
189,28.454188558330763
190,28.305982962979115
191,25.02173190324377
192,19.78321840586781
193,19.817114542238475
194,21.48243132838848
195,37.27319302384878
196,85.53615774967606
197,127.89186040084945
198,237.0280694720128
199,376.1893298049307
200,454.1886754840758
201,461.2144544526124
202,536.4632482447892
203,550.2812221852059
204,547.7680130289352
205,561.4253499987374
206,464.7932011358433
207,300.35771279130415
208,173.79284651239524
209,103.13878924906258
210,51.22873494415123
211,10.518384911499933
212,8.476752089283323
213,6.987016336229757
214,7.595279989099395
215,5.860988046179168
216,26.495072814339125
217,23.29497532171308
218,28.438149411659985
219,42.90326916152769
220,58.02970637431513
221,91.70376928170386
222,153.50757911183632
223,282.3031003052327
224,434.01976200539315
225,440.27561731631573
226,435.9203484234656
227,410.036960043655
228,389.69414085163703
229,327.06495823169894
230,294.22803087908653
231,229.2588307207455
232,124.19085144483988
233,92.15582064287074
234,64.74204870931482
235,24.288341806660956
236,20.851318434226382
237,29.29579055890395
238,28.708494456076394
239,29.214162787284334
240,30.007615114951623
241,27.36362834910022
242,30.229666340954005
243,33.39284913071084
244,62.96929337217615
245,142.94986176734665
246,246.16112520487465
247,394.17835971862104
248,484.79047809415874
249,294.81617879022485
250,265.52814309336225
251,312.38775281638095
252,337.5235629763742
253,351.94429393806524
254,329.3308345853462
255,306.0657657208403
256,254.8716590212875
257,180.00567448709106
258,94.7635269622252
259,39.640731603905394
260,16.748882235018755
261,14.923291896221613
262,14.813784461603756
263,14.649696274165589
264,26.19251661437862
265,26.54639151925332
266,32.229884723635
267,49.149270531750425
268,108.87174761651927
269,186.76837116627846
270,284.8047571850368
271,385.1984881571496
272,473.2488480405265
273,488.3244048079261
274,503.6217914144844
275,484.8003650875031
276,468.99027836146945
277,425.4876410944497
278,385.3342322590174
279,296.39289988668
280,196.27771744601154
281,115.45950151451679
282,65.11838949542313
283,31.32010784510766
284,23.80133987005583
285,24.3572470810224
286,16.258364909813462
287,19.79802274371163
288,21.302394102201507
289,20.527845471373954
290,33.667955934321775
291,47.20313877823626
292,98.17916050767651
293,160.0899786664193
294,303.1800649813194
295,368.29450286907297
296,392.4499154148309
297,439.8972626135998
298,474.13921715419855
299,466.88646208902514
300,411.3347659942021
301,388.6748897607466
302,361.7612206646225
303,274.283551558356
304,186.46234019750204
305,130.9160723816407
306,85.01788496952622
307,40.39035399208896
308,21.24064403593435
309,18.92908070358194
310,18.673484567557495
311,18.974041789108103
312,21.234829129786977
313,21.234829129786977
314,25.13816586903293
315,46.90615875817382
316,126.41941718417965
317,203.2209099752132
318,322.8482095773716
319,390.54205562578704
320,540.1908747649883
321,568.5519837056573
322,578.0254431415228
323,536.4318611058527
324,503.6913322776544
325,458.2533569059145
326,371.70829241085283
327,226.15789969362822
328,133.08306300236507
329,88.48257299534578
330,57.177723292632514
331,35.46120423929819
332,26.92401855788252
333,29.763909673334904
334,29.909977562625475
335,31.02518502219503
336,33.01402717485309
337,33.01402717485309
338,36.68218148222479
339,49.402105247877074
340,85.57930832535283
341,147.9873775651274
342,198.67433619061728
343,273.97925577931727
344,350.03949466761213
345,347.433788778514
346,362.34617012108373
347,393.30031129812727
348,384.42862785611027
349,345.32861837393875
350,312.7877023353174
351,245.0507687391104
352,169.2214914790178
353,114.61736726342072
354,67.17012312683582
355,39.596277727577935
356,28.863087191562684
357,24.652315747990045
358,24.290978081242088
359,24.740298110134106
360,26.37020823878455
361,26.37020823878455
362,30.748784210599585
363,45.821639684150895
364,95.28697867746568
365,132.62541941340206
366,195.5860536789767
367,298.1755612786349
368,428.4942252704204
369,490.9499179049095
370,500.3339436964771
371,511.68676951776706
372,502.6782010729113
373,471.9645797151599
374,380.6219994511177
375,272.86666985852696
376,207.30883823323373
377,168.32536143444256
378,111.74807254397001
379,44.30199524661317
380,31.482806312777758
381,31.208168091417033
382,30.75535748927189
383,30.8716860307841
384,32.0143174537331
385,31.573531575535867
386,35.68247176110479
387,50.69403545851498
388,85.30807129529798
389,117.32998348430063
390,168.7994168355545
391,234.48223325389077
392,316.0046300488801
393,339.3419326774083
394,349.9534938831976
395,353.7497685191699
396,393.7199094564105
397,387.01428367832585
398,346.97534801551444
399,268.64871699595807
400,204.79072532594398
401,157.15442387194372
402,116.93066096146532
403,73.5841318523758
404,40.11526711752289
405,29.37323565468393
406,27.77833829451697
407,27.897287253296767
408,25.42134827524592
409,24.86814940758942
410,44.47901694749382
411,93.65196301498776
412,191.66889736150577
413,351.21546644771433
414,576.2780668746284
415,772.1003813606519
416,933.249211008467
417,1080.7996947697634
418,1083.2281762937816
419,1054.6866398973077
420,1051.1909497419892
421,1015.2566183955605
422,789.3530337196934
423,626.1606824352991
424,430.22410105726857
425,269.7323947578859
426,170.33722394372435
427,93.10607802093159
428,54.090795084414836
429,38.341114983649064
430,36.911379809231555
431,36.837887356064186
432,37.216929645441546
433,38.34037723119038
434,56.287805713180674
435,95.19731826012985
436,202.06834698260974
437,359.8213484521907
438,464.1937681126914
439,630.1792762377241
440,744.38473613193
441,869.8379806143246
442,842.0033462152658
443,683.3262079745518
444,514.6681442317363
445,429.6463943523066
446,394.928660308624
447,354.0527467017618
448,291.6027582320718
449,177.5596556327713
450,96.88762983919601
451,53.14597019476236
452,36.34505705451832
453,34.74113913895139
454,34.85333170398731
455,35.55084855549228
456,33.92962854257432
457,33.64135487307369
458,43.19370027097564
459,60.234574428329076
460,118.42429751253191
461,200.74258269483053
462,445.55068122627483
463,647.1373403289389
464,681.1617539381315
465,701.0018528176906
466,823.8736042944403
467,919.3419543628203
468,940.1521336620681
469,886.4043483944603
470,698.6344044135296
471,620.3516559344066
472,408.8380849519771
473,264.27637503687566
474,160.01759096741878
475,90.69741096795565
476,50.27867025114546
477,34.498666364672005
478,33.78920864977618
479,34.59891806631708
480,42.677625904593086
481,43.17338745424807
482,71.70682355178668
483,106.72325825000644
484,198.05951092643286
485,345.2644170556754
486,568.2521312096151
487,718.8566565198278
488,850.6738258617498
489,1014.6472331724378
490,1020.4650130085859
491,1004.342629722484
492,964.9978491355936
493,954.0867569897173
494,751.0114577644598
495,631.8784817030282
496,419.8039448582447
497,261.66890556959527
498,158.29147790308238
499,90.34608573450676
500,48.589617670384804
501,32.10561438933581
502,31.396156674439975
503,32.25799155946229
504,38.86534024633384
505,36.57858534040905
506,59.358613035737505
507,109.49214586464105
508,199.48838054656088
509,337.1223529332657
510,512.2858494746824
511,722.2533779810077
512,822.6540648391214
513,926.7257366157909
514,918.5070800302294
515,819.1567424184125
516,719.7803543669938
517,755.7254523818751
518,580.5311588328603
519,437.1103714239822
520,331.2643311484829
521,216.49179217496442
522,135.6659971202304
523,72.92680102831301
524,39.69151272508506
525,37.18562219684243
526,36.73557237240058
527,38.28669351229252
528,42.35470118942412
529,42.35470118942412
530,47.90777294909135
531,58.00050732755964
532,110.4304606873915
533,163.99783558035938
534,251.5948130316439
535,365.00831762235987
536,366.4447773447889
537,286.29261277318096
538,337.2147190780256
539,594.958872208754
540,638.2338491999676
541,761.6335836557288
542,694.4053727093858
543,576.3065125710382
544,373.7382496172633
545,245.66350954265172
546,163.32614055035478
547,101.5290062068577
548,57.259608918271745
549,38.15879642427481
550,38.38727220497065
551,20.629631801484013
552,26.138052259551948
553,25.023950951901494
554,29.938441493492
555,50.27760721173744
556,71.11330896218658
557,90.8931860826496
558,151.71892531895952
559,202.7212765640275
560,341.37047766541866
561,345.8954070683096
562,354.7069072136022
563,351.9684422635925
564,377.3073492314293
565,403.0106725803359
566,437.1987385646942
567,441.36394591061105
568,329.5018590967312
569,208.16412087683375
570,125.82223574177792
571,79.49520260966688
572,38.87050784860595
573,30.77009930668801
574,30.065849107504427
575,32.106238571259766
576,42.50350569837024
577,42.55878095631959
578,69.52212680680108
579,115.34474053615492
580,197.84478093512095
581,339.7424926851505
582,512.894386144884
583,693.4895973398751
584,784.3798600774574
585,918.6576135462003
586,941.0438990883034
587,876.9187382079874
588,767.2451287228885
589,708.0465291278085
590,624.8588068704812
591,465.73962187658884
592,319.84019852045907
593,224.4142184640621
594,146.3543411152498
595,88.00736422575778
596,47.51758237273736
597,28.764094041874785
598,29.497227821255727
599,31.16548486910281
600,35.66230486898389
601,35.84437345322446
602,51.41240626897911
603,99.38371643830018
604,185.8426568196059
605,339.92077501217045
606,507.094441898089
607,657.4563994315533
