iter	Passed	Remaining
356	24392	1342114
357	24454	1341696
358	24519	1341484
359	24585	1341253
360	24647	1340890
361	24713	1340651
362	24787	1340918
363	24855	1340824
364	24921	1340630
365	24984	1340263
366	25046	1339891
367	25111	1339629
368	25172	1339190
369	25238	1339011
370	25300	1338633
371	25366	1338418
372	25432	1338219
373	25497	1338014
374	25566	1337990
375	25635	1337963
376	25700	1337739
377	25766	1337547
378	25831	1337302
379	25902	1337384
380	25972	1337406
381	26040	1337326
382	26107	1337191
383	26171	1336916
384	26236	1336686
385	26303	1336564
386	26371	1336507
387	26436	1336293
388	26505	1336240
389	26571	1336092
390	26637	1335877
391	26703	1335718
392	26767	1335460
393	26832	1335228
394	26897	1335008
395	26960	1334677
396	27024	1334432
397	27097	1334574
398	27164	1334455
399	27234	1334468
400	27298	1334216
401	27364	1334059
402	27431	1333934
403	27494	1333619
404	27570	1333915
405	27636	1333756
406	27701	1333559
407	27766	1333359
408	27832	1333177
409	27897	1332943
410	27965	1332871
411	28030	1332669
412	28097	1332537
413	28160	1332257
414	28230	1332256
415	28301	1332345
416	28368	1332211
417	28433	1332019
418	28497	1331762
419	28568	1331836
420	28637	1331808
421	28704	1331693
422	28772	1331620
423	28848	1331932
424	28916	1331849
425	28980	1331585
426	29050	1331628
427	29115	1331408
428	29180	1331194
429	29246	1331050
430	29310	1330826
431	29375	1330583
432	29453	1330979
433	29522	1330956
434	29592	1330984
435	29659	1330878
436	29729	1330874
437	29797	1330819
438	29862	1330626
439	29930	1330552
440	29994	1330284
441	30060	1330147
442	30127	1330050
443	30200	1330183
444	30274	1330368
445	30343	1330369
446	30412	1330345
447	30477	1330104
448	30546	1330118
449	30618	1330193
450	30687	1330190
451	30757	1330201
452	30823	1330043
453	30893	1330036
454	30961	1329983
455	31028	1329856
456	31096	1329816
457	31162	1329654
458	31230	1329572
459	31297	1329459
460	31365	1329377
461	31433	1329306
462	31499	1329156
463	31566	1329052
464	31634	1328973
465	31697	1328711
466	31765	1328648
467	31837	1328729
468	31903	1328575
469	31968	1328373
470	32036	1328308
471	32104	1328274
472	32169	1328080
473	32237	1327988
474	32301	1327770
475	32368	1327642
476	32436	1327581
477	32503	1327456
478	32570	1327383
479	32640	1327360
480	32707	1327287
481	32775	1327192
482	32843	1327121
483	32907	1326917
484	32976	1326898
485	33050	1327051
486	33117	1326957
487	33186	1326920
488	33254	1326858
489	33317	1326594
490	33384	1326490
491	33454	1326474
492	33519	1326290
493	33586	1326196
494	33656	1326188
495	33721	1326003
496	33785	1325800
497	33850	1325616
498	33921	1325650
499	33987	1325518
500	34052	1325321
501	34123	1325360
502	34199	1325608
503	34267	1325553
504	34333	1325393
505	34399	1325259
506	34465	1325118
507	34533	1325040
508	34602	1325029
509	34668	1324889
510	34735	1324760
511	34801	1324637
512	34869	1324547
513	34935	1324439
514	35004	1324406
515	35073	1324356
516	35137	1324162
517	35202	1323971
518	35266	1323749
519	35337	1323811
520	35411	1323970
521	35479	1323877
522	35547	1323830
523	35622	1324016
524	35686	1323814
525	35752	1323669
526	35819	1323567
527	35889	1323549
528	35957	1323478
529	36022	1323300
530	36086	1323115
531	36152	1322981
532	36218	1322838
533	36286	1322747
534	36351	1322578
535	36417	1322458
536	36484	1322358
537	36557	1322450
538	36627	1322467
539	36692	1322279
540	36762	1322293
541	36828	1322167
542	36892	1321963
543	36959	1321829
544	37029	1321843
545	37094	1321681
546	37160	1321547
547	37225	1321364
548	37288	1321134
549	37354	1320976
550	37419	1320810
551	37482	1320591
552	37551	1320534
553	37619	1320474
554	37688	1320459
555	37763	1320630
556	37831	1320556
557	37897	1320441
558	37964	1320332
559	38028	1320139
560	38095	1320031
561	38160	1319876
562	38228	1319802
563	38293	1319639
564	38360	1319526
565	38427	1319443
566	38491	1319233
567	38556	1319073
568	38626	1319080
569	38693	1318963
570	38762	1318942
571	38833	1318972
572	38906	1319082
573	38975	1319055
574	39043	1319000
575	39111	1318934
576	39175	1318736
577	39242	1318618
578	39309	1318545
579	39377	1318462
580	39444	1318372
581	39509	1318207
582	39575	1318071
583	39644	1318031
584	39712	1317992
585	39778	1317842
586	39843	1317690
587	39908	1317522
588	39975	1317433
589	40050	1317605
590	40123	1317691
591	40194	1317743
592	40262	1317658
593	40328	1317521
594	40393	1317370
595	40459	1317235
596	40527	1317180
597	40594	1317086
598	40660	1316963
599	40727	1316853
600	40795	1316787
601	40863	1316719
602	40930	1316619
603	40994	1316430
604	41066	1316516
605	41136	1316495
606	41203	1316413
607	41277	1316522
608	41345	1316475
609	41411	1316336
610	41480	1316299
611	41543	1316077
612	41612	1316062
613	41676	1315862
614	41741	1315714
615	41810	1315683
616	41877	1315571
617	41943	1315447
618	42011	1315374
619	42080	1315348
620	42149	1315323
621	42215	1315187
622	42283	1315120
623	42359	1315316
624	42438	1315606
625	42507	1315545
626	42575	1315501
627	42642	1315392
628	42706	1315225
629	42775	1315191
630	42842	1315092
631	42913	1315100
632	42982	1315078
633	43048	1314939
634	43118	1314953
635	43187	1314920
636	43256	1314861
637	43326	1314881
638	43395	1314832
639	43467	1314884
640	43536	1314842
641	43603	1314755
642	43673	1314756
643	43744	1314771
644	43810	1314643
645	43877	1314553
646	43944	1314460
647	44007	1314254
648	44074	1314161
649	44139	1313991
650	44207	1313945
651	44278	1313969
652	44344	1313833
653	44413	1313796
654	44481	1313726
655	44546	1313588
656	44613	1313481
657	44679	1313346
658	44748	1313320
659	44822	1313430
660	44891	1313411
661	44957	1313285
662	45022	1313117
663	45098	1313286
664	45165	1313191
665	45232	1313106
666	45298	1312977
667	45364	1312861
668	45434	1312847
669	45503	1312800
670	45571	1312757
671	45642	1312766
672	45709	1312678
673	45777	1312618
674	45846	1312560
675	45920	1312684
676	45991	1312686
677	46058	1312589
678	46123	1312459
679	46193	1312437
680	46258	1312276
681	46323	1312135
682	46390	1312030
683	46456	1311929
684	46523	1311822
685	46588	1311674
686	46656	1311604
687	46723	1311530
688	46793	1311495
689	46864	1311524
690	46931	1311424
691	46997	1311322
692	47073	1311470
693	47147	1311579
694	47217	1311565
695	47286	1311515
696	47354	1311456
697	47420	1311330
698	47487	1311229
699	47554	1311157
700	47621	1311056
701	47689	1310985
702	47754	1310838
703	47820	1310711
704	47883	1310520
705	47950	1310417
706	48015	1310261
707	48081	1310148
708	48148	1310056
709	48214	1309951
710	48289	1310071
711	48358	1310026
712	48424	1309900
713	48490	1309778
714	48560	1309787
715	48628	1309714
716	48694	1309601
717	48762	1309511
718	48829	1309422
719	48894	1309273
720	48962	1309218
721	49029	1309140
722	49096	1309034
723	49163	1308942
724	49235	1308976
725	49303	1308915
726	49373	1308902
727	49446	1308977
728	49524	1309183
729	49596	1309199
730	49664	1309140
731	49731	1309054
732	49802	1309055
733	49872	1309042
734	49941	1309023
735	50010	1308962
736	50079	1308929
737	50149	1308924
738	50217	1308857
739	50286	1308809
740	50355	1308767
741	50423	1308694
742	50492	1308665
743	50562	1308656
744	50644	1308927
745	50713	1308886
746	50780	1308810
747	50854	1308897
748	50925	1308891
749	50998	1308957
750	51076	1309147
751	51197	1310448
752	51267	1310412
753	51336	1310361
754	51408	1310397
755	51478	1310391
756	51547	1310350
757	51617	1310315
758	51685	1310256
759	51753	1310172
760	51830	1310343
761	51902	1310373
762	51973	1310369
763	52038	1310233
764	52109	1310220
765	52173	1310057
766	52240	1309957
767	52311	1309978
768	52380	1309912
769	52449	1309885
770	52519	1309851
771	52587	1309789
772	52654	1309677
773	52721	1309583
774	52791	1309562
775	52861	1309537
776	52926	1309401
777	53002	1309540
778	53074	1309550
779	53141	1309472
780	53208	1309363
781	53280	1309403
782	53348	1309319
783	53421	1309368
784	53488	1309274
785	53556	1309208
786	53625	1309148
787	53692	1309061
788	53757	1308928
789	53823	1308794
790	53892	1308745
791	53959	1308648
792	54024	1308518
793	54092	1308442
794	54164	1308469
795	54240	1308588
796	54308	1308519
797	54380	1308541
798	54447	1308447
799	54513	1308317
800	54580	1308235
801	54645	1308093
802	54712	1307987
803	54778	1307864
804	54852	1307953
805	54922	1307907
806	54986	1307753
807	55056	1307724
808	55125	1307672
809	55195	1307645
810	55262	1307550
811	55330	1307489
812	55404	1307556
813	55472	1307499
814	55544	1307511
815	55617	1307557
816	55684	1307468
817	55751	1307376
818	55818	1307259
819	55886	1307209
820	55962	1307302
821	56030	1307235
822	56100	1307214
823	56174	1307273
824	56243	1307244
825	56310	1307147
826	56380	1307104
827	56450	1307089
828	56519	1307030
829	56594	1307127
830	56669	1307215
831	56736	1307122
832	56805	1307082
833	56876	1307078
834	56944	1307006
835	57018	1307052
836	57091	1307098
837	57164	1307151
838	57232	1307064
839	57298	1306958
840	57368	1306918
841	57439	1306921
842	57503	1306764
843	57572	1306696
844	57640	1306633
845	57709	1306588
846	57785	1306697
847	57856	1306672
848	57925	1306633
849	57993	1306556
850	58066	1306609
851	58132	1306486
852	58202	1306453
853	58268	1306337
854	58335	1306232
855	58404	1306192
856	58472	1306103
857	58537	1305969
858	58608	1305964
859	58673	1305829
860	58741	1305756
861	58808	1305650
862	58874	1305545
863	58949	1305631
864	59022	1305667
865	59090	1305577
866	59158	1305519
867	59224	1305405
868	59289	1305266
869	59358	1305200
870	59424	1305098
871	59492	1305016
872	59560	1304944
873	59627	1304836
874	59692	1304711
875	59766	1304755
876	59832	1304653
877	59901	1304589
878	59968	1304502
879	60036	1304426
880	60109	1304475
881	60184	1304540
882	60253	1304499
883	60321	1304416
884	60390	1304358
885	60460	1304341
886	60527	1304238
887	60594	1304151
888	60664	1304108
889	60730	1304001
890	60795	1303856
891	60863	1303796
892	60932	1303732
893	60999	1303644
894	61073	1303700
895	61142	1303643
896	61206	1303492
897	61276	1303459
898	61350	1303518
899	61420	1303480
900	61485	1303347
901	61552	1303257
902	61619	1303143
903	61686	1303067
904	61754	1302994
905	61821	1302891
906	61891	1302850
907	61959	1302783
908	62027	1302705
909	62095	1302636
