iter	RMSE
0	1119.171104
1	1059.55527
2	1004.593375
3	954.8217757
4	908.4547478
5	866.353877
6	827.7985507
7	791.8897117
8	760.8595779
9	731.494107
10	705.0616403
11	680.7205405
12	660.1423134
13	641.3610775
14	623.6086105
15	607.8368193
16	593.5866473
17	580.5523576
18	569.0422466
19	558.3273374
20	549.0671556
21	540.4439885
22	532.5555382
23	525.6472735
24	519.5483574
25	514.2485143
26	509.6424143
27	504.9027088
28	500.2855738
29	496.1107942
30	492.5989217
31	489.6413598
32	486.7897897
33	484.2861827
34	481.9158083
35	479.833218
36	477.9854206
37	476.3609186
38	474.7815064
39	472.9724943
40	471.5881221
41	470.4261937
42	468.9491434
43	467.8618223
44	466.8703848
45	465.649872
46	464.6464848
47	463.9134883
48	462.6129402
49	461.6923759
50	460.8344898
51	459.9773019
52	459.2834392
53	458.6644358
54	458.1979946
55	457.7133945
56	457.1664152
57	456.6673156
58	456.065181
59	455.4654059
60	454.9964863
61	454.1219401
62	453.7159182
63	453.1354698
64	452.6393377
65	452.1686586
66	451.7742343
67	451.2200652
68	450.5641973
69	449.9088318
70	449.592156
71	449.0263347
72	448.6044332
73	448.1959861
74	447.7060718
75	447.1743941
76	446.6470168
77	446.2691108
78	445.8820742
79	445.5372673
80	445.2671298
81	444.8183057
82	444.4975539
83	444.1845255
84	443.7734278
85	443.373544
86	443.0815481
87	442.6152599
88	442.3316411
89	442.139349
90	441.8799496
91	441.6214413
92	441.3111837
93	440.9566328
94	440.7902155
95	440.4099879
96	439.9969881
97	439.6353382
98	439.409416
99	439.0677125
100	438.8171566
101	438.4240526
102	438.1251521
103	437.7569674
104	437.50682
105	437.2198105
106	437.0761637
107	436.8397541
108	436.5755178
109	436.3826733
110	436.134074
111	435.5173718
112	435.1726931
113	434.7935404
114	434.5201722
115	434.14484
116	433.8663803
117	433.6132917
118	433.2710344
119	432.8672927
120	432.6296375
121	432.4905137
122	432.2786915
123	432.0559345
124	431.8331131
125	431.6352183
126	431.4554917
127	431.1855773
128	431.0021195
129	430.45434
130	430.2123646
131	429.9050971
132	429.6289796
133	429.4242953
134	429.2456663
135	428.8861373
136	428.6519815
137	428.4801144
138	428.2603753
139	427.9980197
140	427.6914486
141	427.5260189
142	427.2717476
143	427.0499785
